snapped_at,price,market_cap,total_volume
2020-01-23 00:00:00 UTC,0.006542752318246012,85779727.63852987,9312626.877909938
2020-01-24 00:00:00 UTC,0.0064273314079668405,84045626.64867298,10959550.886019802
2020-01-25 00:00:00 UTC,0.00695626552647043,90944077.62128146,11753034.034494858
2020-01-26 00:00:00 UTC,0.0063228143797932675,82942430.07244973,8125121.528933328
2020-01-27 00:00:00 UTC,0.006368672200600144,83444443.58285977,6651503.404582602
2020-01-28 00:00:00 UTC,0.006069604072992772,79750089.57768306,6664658.340453694
2020-01-29 00:00:00 UTC,0.006761990581750772,88519284.24424979,7311638.386110175
2020-01-30 00:00:00 UTC,0.006482974966185399,85295321.50201286,7264152.999656635
2020-01-31 00:00:00 UTC,0.006498418410424948,85537901.97328576,6377847.299340771
2020-02-01 00:00:00 UTC,0.006288817411347093,82590795.27866721,6761364.639721
2020-02-02 00:00:00 UTC,0.00637757357237881,84086108.96222122,5544432.742766555
2020-02-03 00:00:00 UTC,0.006432630352072198,84809267.31665502,6077758.797502205
2020-02-04 00:00:00 UTC,0.00635317920667309,84113516.41448085,6205756.331325881
2020-02-05 00:00:00 UTC,0.006173469368578326,81795354.89211366,5051375.30423111
2020-02-06 00:00:00 UTC,0.006424858079447575,85053800.87703958,6683349.452086737
2020-02-07 00:00:00 UTC,0.00648200220019221,85772671.64137353,6783135.578349602
2020-02-08 00:00:00 UTC,0.007073683833960101,93550886.84073608,9525869.260298885
2020-02-09 00:00:00 UTC,0.006964891551974602,92383874.52383868,8999998.577194158
2020-02-10 00:00:00 UTC,0.006839334367233888,90819777.33351313,9314927.116579223
2020-02-11 00:00:00 UTC,0.006877774219024345,91415678.20890372,9523624.044603325
2020-02-12 00:00:00 UTC,0.008068007855577533,108159326.93503696,15364912.00043609
2020-02-13 00:00:00 UTC,0.00823561035915784,109502937.34085476,15302649.19414729
2020-02-14 00:00:00 UTC,0.007722816302698386,102925592.2829581,12063271.702376168
2020-02-15 00:00:00 UTC,0.008150460569444084,108613295.48286894,7431971.753493435
2020-02-16 00:00:00 UTC,0.007525332695519286,100482891.49994989,8043404.373708475
2020-02-17 00:00:00 UTC,0.007236287603028764,96001257.08769132,8408618.145119708
2020-02-18 00:00:00 UTC,0.006932947082284719,92617211.4682539,6771331.449628069
2020-02-19 00:00:00 UTC,0.007148485475291426,95677291.34488669,8444241.257143477
2020-02-20 00:00:00 UTC,0.006940950497956974,92919452.74823524,8100707.4761284
2020-02-21 00:00:00 UTC,0.006905591857293877,92876720.93966548,8787884.969129482
2020-02-22 00:00:00 UTC,0.0073781818049580145,99604484.10738927,9157302.501145573
2020-02-23 00:00:00 UTC,0.00750793880731238,100695149.4929723,7150046.8490375085
2020-02-24 00:00:00 UTC,0.007497120465652569,101292368.24247077,9061843.619128484
2020-02-25 00:00:00 UTC,0.0069706621648558354,93790927.45493932,9291026.608116286
2020-02-26 00:00:00 UTC,0.006527344742851617,88025609.96504948,9314883.05577487
2020-02-27 00:00:00 UTC,0.005568680764745995,75050038.5601132,11228028.451229861
2020-02-28 00:00:00 UTC,0.005973988621979151,81583318.72366579,9813156.730770605
2020-02-29 00:00:00 UTC,0.005939078462169384,80234561.1839223,7675355.622262222
2020-03-01 00:00:00 UTC,0.006427916883629287,86905653.36293994,9832402.538494917
2020-03-02 00:00:00 UTC,0.005968304072933151,80772788.158515,7586126.229353054
2020-03-03 00:00:00 UTC,0.00684164112756418,92674018.8759462,10679215.90818546
